length,score
2612,-260.0
620,0.0
1847,-72.0
1689,-67.0
337,0.0
763,0.0
316,0.0
3170,-444.0
430,0.0
1086,-34.0
835,0.0
666,-13.0
664,0.0
827,-53.0
1943,0.0
4156,-308.0
766,-11.0
410,-46.0
290,0.0
18127,-1632.0
1389,0.0
851,0.0
1593,-106.0
5159,-366.0
914,-4.0
609,0.0
6580,-300.0
3055,-405.0
666,-57.0
353,0.0
854,0.0
753,-20.0
6672,-200.0
414,-48.0
4177,-313.0
2343,-100.0
3849,-300.0
503,0.0
488,0.0
819,0.0
779,0.0
3035,-64.0
16997,-1170.0
676,-66.0
646,0.0
429,0.0
579,-20.0
656,-22.0
428,-40.0
1333,-106.0
1102,-44.0
929,-116.0
4008,-120.0
6232,-288.0
1089,0.0
1448,-300.0
663,-24.0
854,0.0
746,-24.0
1283,-76.0
6007,-300.0
571,-107.0
1589,0.0
3226,-200.0
1081,0.0
1274,0.0
514,-95.0
7643,-648.0
647,0.0
6469,-457.0
12172,-1482.0
905,0.0
5346,-581.0
8319,-730.0
412,-12.0
378,0.0
5455,0.0
726,-26.0
5719,-324.0
843,-49.0
7114,-450.0
1009,0.0
4156,-711.0
3552,-300.0
6559,-602.0
4763,-574.0
415,0.0
495,-33.0
1378,0.0
621,-30.0
12793,-778.0
699,0.0
446,0.0
8585,-438.0
908,-24.0
16339,-337.0
501,0.0
13030,-567.0
3538,0.0
1517,-9.0
769,0.0
3566,-588.0
99999,-1448.0
507,-1.0
2864,-381.0
863,0.0
817,0.0
1870,-104.0
3587,-328.0
673,-17.0
1388,0.0
6020,-300.0
856,-46.0
567,0.0
1094,0.0
1269,-153.0
692,0.0
400,0.0
753,-63.0
1030,-136.0
918,0.0
356,0.0
611,0.0
1172,-45.0
10701,-704.0
3978,-300.0
907,-180.0
672,0.0
867,0.0
412,0.0
1029,-41.0
1184,0.0
830,0.0
446,0.0
595,-24.0
1430,-88.0
5418,-100.0
843,0.0
763,-48.0
669,-46.0
686,-100.0
406,0.0
662,0.0
4871,-927.0
5072,-200.0
357,0.0
5226,-100.0
1162,-48.0
3573,-224.0
1203,0.0
6746,-906.0
683,-22.0
421,-24.0
5676,-654.0
645,0.0
3140,-300.0
516,0.0
2483,-400.0
833,-110.0
2814,-266.0
3310,-189.0
646,0.0
4186,-285.0
2216,-222.0
1238,0.0
1413,-300.0
472,0.0
2812,-200.0
455,0.0
510,-44.0
7778,-800.0
1195,-20.0
3969,-100.0
838,-60.0
917,0.0
5287,-794.0
3186,-200.0
2459,-237.0
502,0.0
3041,-443.0
1579,0.0
2639,-300.0
651,-70.0
1549,-111.0
1671,-125.0
411,0.0
689,0.0
1899,-223.0
521,-96.0
6244,-500.0
687,0.0
308,0.0
3376,-400.0
500,0.0
3297,-300.0
2671,-454.0
642,0.0
917,0.0
3699,-400.0
581,-32.0
4440,-433.0
1153,-100.0
3327,-300.0
969,-100.0
849,-119.0
2033,-100.0
2254,-100.0
7834,-300.0
1697,-93.0
750,-33.0
476,0.0
5726,-511.0
1022,-42.0
2032,-100.0
6533,-200.0
837,-40.0
3760,-710.0
572,-46.0
415,0.0
1700,-145.0
496,-46.0
770,-25.0
1116,-69.0
2903,-100.0
443,0.0
755,-26.0
669,-22.0
683,-21.0
661,0.0
845,0.0
7461,-663.0
3175,-220.0
406,-43.0
6411,-521.0
328,0.0
580,-94.0
1268,0.0
4427,-100.0
862,-22.0
680,-13.0
953,0.0
674,-60.0
2274,-505.0
1018,-8.0
1726,-300.0
367,0.0
675,-2.0
2093,-100.0
10493,-400.0
1733,-100.0
1086,-69.0
942,-59.0
1010,-108.0
419,-42.0
531,0.0
684,0.0
594,-1.0
2226,-100.0
478,0.0
1851,-302.0
3055,-622.0
595,0.0
3978,-413.0
799,0.0
734,0.0
1029,-68.0
1004,-42.0
600,-58.0
764,-7.0
832,-21.0
2709,-342.0
2828,-688.0
1371,-170.0
2218,-220.0
1603,0.0
1554,-221.0
2057,-252.0
421,0.0
1162,-60.0
4427,-574.0
1304,0.0
1175,-57.0
2588,-116.0
1183,-133.0
1232,-28.0
574,0.0
539,0.0
1623,-200.0
832,-9.0
496,0.0
1336,0.0
3116,-174.0
2707,-418.0
826,-22.0
930,-98.0
4168,-300.0
4433,-755.0
2262,-100.0
538,-24.0
494,0.0
4021,-813.0
508,0.0
501,0.0
772,-40.0
515,-17.0
692,-17.0
1778,-200.0
829,-97.0
5222,-200.0
657,-37.0
5359,-602.0
571,-26.0
2465,-200.0
4181,-626.0
588,0.0
590,-6.0
407,0.0
1289,-234.0
1523,-191.0
717,-100.0
1431,-73.0
1696,-46.0
1096,0.0
839,-84.0
2233,-246.0
6192,-400.0
1802,-217.0
606,0.0
5321,-1084.0
802,0.0
336,0.0
1167,-116.0
662,0.0
669,-46.0
429,-7.0
1368,-164.0
6741,-600.0
1275,-98.0
390,0.0
1421,-4.0
1457,-189.0
421,0.0
1619,-300.0
1385,-399.0
2564,-331.0
1282,-146.0
4726,-600.0
1967,-200.0
769,0.0
939,-26.0
1336,0.0
520,0.0
450,0.0
663,-22.0
584,-35.0
759,0.0
1306,-100.0
1076,-100.0
1600,-122.0
667,0.0
610,0.0
2035,-130.0
602,-37.0
499,-15.0
925,-98.0
1006,-68.0
1419,-155.0
834,-113.0
1064,-48.0
584,-26.0
15370,-1473.0
421,0.0
859,-26.0
770,0.0
745,-71.0
1664,-100.0
1194,0.0
3326,-100.0
814,0.0
1004,-86.0
500,0.0
1107,-78.0
582,0.0
570,0.0
1384,-54.0
4643,-646.0
4851,-292.0
1359,-42.0
999,-24.0
498,0.0
822,0.0
1497,-100.0
425,0.0
698,0.0
697,0.0
1434,-120.0
2063,-231.0
2053,-200.0
946,-35.0
5292,-677.0
599,0.0
1415,-100.0
4020,-452.0
658,-29.0
403,-14.0
827,-24.0
1712,0.0
3264,-200.0
1100,-145.0
1102,-11.0
854,0.0
2050,0.0
821,-44.0
665,-56.0
588,0.0
517,-72.0
1882,0.0
1006,-44.0
702,0.0
760,0.0
2383,-100.0
926,-24.0
4094,-606.0
844,-12.0
832,0.0
418,0.0
328,-22.0
412,0.0
328,0.0
3751,-500.0
673,-96.0
2805,-200.0
1608,-110.0
450,0.0
380,0.0
1012,-51.0
2546,-226.0
1460,-22.0
762,-46.0
559,0.0
339,0.0
348,0.0
866,0.0
930,0.0
574,-20.0
1093,0.0
1027,-80.0
1951,-200.0
1094,-216.0
1368,-36.0
676,0.0
669,0.0
934,-71.0
1700,0.0
481,0.0
4755,-420.0
2121,-300.0
318,0.0
